"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2425","Create course","LMS system","2026-09-08","passed","2026-09-08","Courses","Courses","",""
"","1996","User login with wrong email or password","LMS system","2026-09-08","passed","2026-09-08","Authorization","Authentication","",""
"","1707","User login with wrong email or password","LMS system","2026-09-08","passed","2026-09-08","Authorization","Authentication","",""
"","1711","Check displaying of empty courses list","LMS system","2026-09-08","passed","2026-09-08","Courses","Courses","",""
"","3223","User login with correct email and password","LMS system","2026-09-08","passed","2026-09-08","Authorization","Authentication","",""
"","2373","Check displaying of dashboard page","LMS system","2026-09-08","passed","2026-09-08","Dashboard","Dashboard","",""
"","2078","Registration with correct email, username and password","LMS system","2026-09-08","passed","2026-09-08","Registration","Authentication","",""
"","1689","Navigation from login page to registration page","LMS system","2026-09-08","passed","2026-09-08","Authorization","Authentication","",""
"","3463","Edit course","LMS system","2026-09-08","passed","2026-09-08","Courses","Courses","",""
"","2009","User login with wrong email or password","LMS system","2026-09-08","passed","2026-09-08","Authorization","Authentication","",""
