"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2872","Edit course","LMS system","2026-09-18","passed","2026-09-18","Courses","Courses","",""
"","2039","Create course","LMS system","2026-09-18","passed","2026-09-18","Courses","Courses","",""
"","1887","User login with wrong email or password","LMS system","2026-09-18","passed","2026-09-18","Authorization","Authentication","",""
"","1545","User login with wrong email or password","LMS system","2026-09-18","passed","2026-09-18","Authorization","Authentication","",""
"","1374","Check displaying of empty courses list","LMS system","2026-09-18","passed","2026-09-18","Courses","Courses","",""
"","1861","User login with wrong email or password","LMS system","2026-09-18","passed","2026-09-18","Authorization","Authentication","",""
"","3138","User login with correct email and password","LMS system","2026-09-18","passed","2026-09-18","Authorization","Authentication","",""
"","1824","Check displaying of dashboard page","LMS system","2026-09-18","passed","2026-09-18","Dashboard","Dashboard","",""
"","2011","Registration with correct email, username and password","LMS system","2026-09-18","passed","2026-09-18","Registration","Authentication","",""
"","1601","Navigation from login page to registration page","LMS system","2026-09-18","passed","2026-09-18","Authorization","Authentication","",""
