"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2084","User login with wrong email or password","LMS system","2026-09-08","passed","2026-09-08","Authorization","Authentication","",""
"","2360","Create course","LMS system","2026-09-08","passed","2026-09-08","Courses","Courses","",""
"","1586","Navigation from login page to registration page","LMS system","2026-09-08","passed","2026-09-08","Authorization","Authentication","",""
"","2900","Edit course","LMS system","2026-09-08","passed","2026-09-08","Courses","Courses","",""
"","2038","User login with wrong email or password","LMS system","2026-09-08","passed","2026-09-08","Authorization","Authentication","",""
"","2023","User login with wrong email or password","LMS system","2026-09-08","passed","2026-09-08","Authorization","Authentication","",""
"","3184","User login with correct email and password","LMS system","2026-09-08","passed","2026-09-08","Authorization","Authentication","",""
"","1673","Check displaying of empty courses list","LMS system","2026-09-08","passed","2026-09-08","Courses","Courses","",""
"","1936","Check displaying of dashboard page","LMS system","2026-09-08","passed","2026-09-08","Dashboard","Dashboard","",""
"","2238","Registration with correct email, username and password","LMS system","2026-09-08","passed","2026-09-08","Registration","Authentication","",""
