"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1876","User login with wrong email or password","LMS system","2026-09-16","passed","2026-09-16","Authorization","Authentication","",""
"","1617","Navigation from login page to registration page","LMS system","2026-09-16","passed","2026-09-16","Authorization","Authentication","",""
"","3352","User login with correct email and password","LMS system","2026-09-16","passed","2026-09-16","Authorization","Authentication","",""
"","1757","User login with wrong email or password","LMS system","2026-09-16","passed","2026-09-16","Authorization","Authentication","",""
"","1920","Check displaying of dashboard page","LMS system","2026-09-16","passed","2026-09-16","Dashboard","Dashboard","",""
"","1385","Check displaying of empty courses list","LMS system","2026-09-16","passed","2026-09-16","Courses","Courses","",""
"","2936","Edit course","LMS system","2026-09-16","passed","2026-09-16","Courses","Courses","",""
"","1865","User login with wrong email or password","LMS system","2026-09-16","passed","2026-09-16","Authorization","Authentication","",""
"","2127","Registration with correct email, username and password","LMS system","2026-09-16","passed","2026-09-16","Registration","Authentication","",""
"","2036","Create course","LMS system","2026-09-16","passed","2026-09-16","Courses","Courses","",""
