"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1893","Registration with correct email, username and password","LMS system","2026-09-13","passed","2026-09-13","Registration","Authentication","",""
"","2615","Create course","LMS system","2026-09-13","passed","2026-09-13","Courses","Courses","",""
"","2210","Check displaying of dashboard page","LMS system","2026-09-13","passed","2026-09-13","Dashboard","Dashboard","",""
"","1992","Navigation from login page to registration page","LMS system","2026-09-13","passed","2026-09-13","Authorization","Authentication","",""
"","1815","Check displaying of empty courses list","LMS system","2026-09-13","passed","2026-09-13","Courses","Courses","",""
"","3407","Edit course","LMS system","2026-09-13","passed","2026-09-13","Courses","Courses","",""
"","1988","User login with wrong email or password","LMS system","2026-09-13","passed","2026-09-13","Authorization","Authentication","",""
"","2092","User login with wrong email or password","LMS system","2026-09-13","passed","2026-09-13","Authorization","Authentication","",""
"","3363","User login with correct email and password","LMS system","2026-09-13","passed","2026-09-13","Authorization","Authentication","",""
"","2010","User login with wrong email or password","LMS system","2026-09-13","passed","2026-09-13","Authorization","Authentication","",""
