"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2885","User login with correct email and password","LMS system","2026-09-08","passed","2026-09-08","Authorization","Authentication","",""
"","2090","User login with wrong email or password","LMS system","2026-09-08","passed","2026-09-08","Authorization","Authentication","",""
"","1719","Registration with correct email, username and password","LMS system","2026-09-08","passed","2026-09-08","Registration","Authentication","",""
"","1941","User login with wrong email or password","LMS system","2026-09-08","passed","2026-09-08","Authorization","Authentication","",""
"","2074","Create course","LMS system","2026-09-08","passed","2026-09-08","Courses","Courses","",""
"","2931","Edit course","LMS system","2026-09-08","passed","2026-09-08","Courses","Courses","",""
"","1885","Check displaying of dashboard page","LMS system","2026-09-08","passed","2026-09-08","Dashboard","Dashboard","",""
"","1518","Check displaying of empty courses list","LMS system","2026-09-08","passed","2026-09-08","Courses","Courses","",""
"","1673","User login with wrong email or password","LMS system","2026-09-08","passed","2026-09-08","Authorization","Authentication","",""
"","1800","Navigation from login page to registration page","LMS system","2026-09-08","passed","2026-09-08","Authorization","Authentication","",""
