"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2428","Edit course","LMS system","2026-09-15","passed","2026-09-15","Courses","Courses","",""
"","2005","Registration with correct email, username and password","LMS system","2026-09-15","passed","2026-09-15","Registration","Authentication","",""
"","1655","User login with wrong email or password","LMS system","2026-09-15","passed","2026-09-15","Authorization","Authentication","",""
"","1735","User login with wrong email or password","LMS system","2026-09-15","passed","2026-09-15","Authorization","Authentication","",""
"","2473","User login with correct email and password","LMS system","2026-09-15","passed","2026-09-15","Authorization","Authentication","",""
"","1600","Check displaying of dashboard page","LMS system","2026-09-15","passed","2026-09-15","Dashboard","Dashboard","",""
"","1344","Navigation from login page to registration page","LMS system","2026-09-15","passed","2026-09-15","Authorization","Authentication","",""
"","1479","User login with wrong email or password","LMS system","2026-09-15","passed","2026-09-15","Authorization","Authentication","",""
"","1918","Create course","LMS system","2026-09-15","passed","2026-09-15","Courses","Courses","",""
"","1412","Check displaying of empty courses list","LMS system","2026-09-15","passed","2026-09-15","Courses","Courses","",""
