"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1426","Navigation from login page to registration page","LMS system","2026-09-15","passed","2026-09-15","Authorization","Authentication","",""
"","2673","Edit course","LMS system","2026-09-15","passed","2026-09-15","Courses","Courses","",""
"","1694","Registration with correct email, username and password","LMS system","2026-09-15","passed","2026-09-15","Registration","Authentication","",""
"","1917","Check displaying of dashboard page","LMS system","2026-09-15","passed","2026-09-15","Dashboard","Dashboard","",""
"","1770","User login with wrong email or password","LMS system","2026-09-15","passed","2026-09-15","Authorization","Authentication","",""
"","1486","Check displaying of empty courses list","LMS system","2026-09-15","passed","2026-09-15","Courses","Courses","",""
"","2998","User login with correct email and password","LMS system","2026-09-15","passed","2026-09-15","Authorization","Authentication","",""
"","2039","User login with wrong email or password","LMS system","2026-09-15","passed","2026-09-15","Authorization","Authentication","",""
"","1965","Create course","LMS system","2026-09-15","passed","2026-09-15","Courses","Courses","",""
"","2018","User login with wrong email or password","LMS system","2026-09-15","passed","2026-09-15","Authorization","Authentication","",""
