"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1286","User login with wrong email or password","LMS system","2026-09-15","passed","2026-09-15","Authorization","Authentication","",""
"","2232","Edit course","LMS system","2026-09-15","passed","2026-09-15","Courses","Courses","",""
"","1831","Registration with correct email, username and password","LMS system","2026-09-15","passed","2026-09-15","Registration","Authentication","",""
"","2289","User login with wrong email or password","LMS system","2026-09-15","passed","2026-09-15","Authorization","Authentication","",""
"","2333","User login with wrong email or password","LMS system","2026-09-15","passed","2026-09-15","Authorization","Authentication","",""
"","2056","Create course","LMS system","2026-09-15","passed","2026-09-15","Courses","Courses","",""
"","1388","Check displaying of dashboard page","LMS system","2026-09-15","passed","2026-09-15","Dashboard","Dashboard","",""
"","2745","User login with correct email and password","LMS system","2026-09-15","passed","2026-09-15","Authorization","Authentication","",""
"","1182","Check displaying of empty courses list","LMS system","2026-09-15","passed","2026-09-15","Courses","Courses","",""
"","1335","Navigation from login page to registration page","LMS system","2026-09-15","passed","2026-09-15","Authorization","Authentication","",""
