"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1678","User login with wrong email or password","LMS system","2026-09-15","passed","2026-09-15","Authorization","Authentication","",""
"","1931","User login with wrong email or password","LMS system","2026-09-15","passed","2026-09-15","Authorization","Authentication","",""
"","1798","Navigation from login page to registration page","LMS system","2026-09-15","passed","2026-09-15","Authorization","Authentication","",""
"","3363","Edit course","LMS system","2026-09-15","passed","2026-09-15","Courses","Courses","",""
"","2045","Check displaying of dashboard page","LMS system","2026-09-15","passed","2026-09-15","Dashboard","Dashboard","",""
"","2025","User login with wrong email or password","LMS system","2026-09-15","passed","2026-09-15","Authorization","Authentication","",""
"","2987","User login with correct email and password","LMS system","2026-09-15","passed","2026-09-15","Authorization","Authentication","",""
"","1622","Check displaying of empty courses list","LMS system","2026-09-15","passed","2026-09-15","Courses","Courses","",""
"","2453","Create course","LMS system","2026-09-15","passed","2026-09-15","Courses","Courses","",""
"","1774","Registration with correct email, username and password","LMS system","2026-09-15","passed","2026-09-15","Registration","Authentication","",""
